concept,definition,labels,sources
Dependencia e Independencia Lineal,Un conjunto de vectores es linealmente independiente si ninguno de ellos puede expresarse como combinación lineal de los otros.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Transformación Lineal,Función entre dos espacios vectoriales que preserva las operaciones de suma y multiplicación por escalares.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Eigenvalores y Eigenvectores,Valor y vector asociados a una matriz que satisface una determinada ecuación. Son fundamentales en la diagonalización de matrices.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Norma,Medida del tamaño de un vector.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Diagonalización,Proceso de encontrar una base de eigenvectores para una matriz y usarla para expresar la matriz como producto de tres matrices especiales.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Matriz Ortogonal,Matriz cuya transpuesta es igual a su inversa.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Espacio Columna,Subespacio generado por las columnas de una matriz.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Espacio Fila,Subespacio generado por las filas de una matriz.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Rango,Número máximo de columnas linealmente independientes de una matriz.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Traza,Suma de los elementos en la diagonal principal de una matriz cuadrada.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Decomposición LU,Representación de una matriz como el producto de una matriz triangular inferior y una matriz triangular superior.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Operaciones Elementales,Operaciones que se realizan en las filas o columnas de una matriz sin cambiar su solución.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Espacio Vectorial,"Conjunto de vectores sobre un campo, que satisface ciertas propiedades algebraicas.",Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Base de un Espacio Vectorial,Conjunto linealmente independiente de vectores que genera todo el espacio.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Dimensión,Número de vectores en una base de un espacio vectorial.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Núcleo de una Transformación,Conjunto de todos los vectores que se mapean al vector cero mediante una transformación lineal.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Imagen de una Transformación,Conjunto de todos los vectores que pueden ser representados por una transformación lineal.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Matriz de una Transformación,Matriz que representa una transformación lineal con respecto a bases dadas.,Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Transformaciones Isomorfas,Transformaciones que conservan la estructura algebraica entre dos espacios vectoriales.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Autovalor y Autovector,Escalar y vector asociados a una matriz cuadrada tal que al multiplicar la matriz por el vector se obtiene el escalar multiplicado por el vector.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Dependencia Lineal,Situación en la que un conjunto de vectores puede ser expresado como una combinación lineal de otros vectores del conjunto.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Independencia Lineal,Situación en la que ningún vector de un conjunto puede ser expresado como una combinación lineal de otros vectores del conjunto.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Matriz Inyectiva,Matriz cuya transformación lineal asociada no colapsa ningún vector no nulo en el vector cero.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Matriz Sobreyectiva,Matriz cuya transformación lineal asociada mapea su dominio en todo su codominio.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Transformación Ortogonal,Transformación que preserva longitudes y ángulos entre vectores.,Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Base Ortonormal,Conjunto de vectores que es ortogonal y cada uno de sus vectores tiene norma unitaria.,Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Matriz Diagonalizable,Matriz que puede ser escrita en forma de una matriz diagonal usando una base de vectores propios.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Subespacio,Conjunto de vectores que es cerrado bajo suma y multiplicación por escalares y que contiene el vector cero.,Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Kernel de una Transformación,Conjunto de todos los vectores que son mapeados al vector cero por una transformación lineal.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Isomorfismo,Transformación lineal biyectiva entre dos espacios vectoriales.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Teorema del Rango,Teorema que relaciona el rango de una matriz con sus dimensiones y el espacio nulo.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Espacio Ortogonal,Conjunto de todos los vectores que son ortogonales a un conjunto dado.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Teorema Fundamental del Álgebra Lineal,"Teorema que establece relaciones entre el espacio nulo, el espacio columna y el rango de una matriz.",Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Inyección,Transformación lineal que no mapea diferentes vectores al mismo vector.,Espacios Vectoriales y Transformaciones,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Sobreyección,Transformación lineal que mapea un espacio vectorial completamente sobre otro.,Espacios Vectoriales y Transformaciones,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Bases Canónicas,Conjunto estándar de vectores que forman una base para un espacio vectorial.,Espacios Vectoriales y Transformaciones,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Matriz Diagonal,Matriz en la que todos los elementos fuera de la diagonal principal son cero.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Matriz Semejante,Dos matrices son semejantes si una puede ser transformada en la otra mediante una operación de cambio de base.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Eigenvalor,Escalar asociado a una matriz que satisface una ecuación característica.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Eigenvector,Vector que no cambia su dirección bajo una transformación lineal asociada a un eigenvalor.,Diagonalización y Formas Canónicas,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Forma Canónica de Jordan,"Representación de una matriz en bloques diagonales, utilizada para matrices no diagonalizables.",Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Teorema de Cayley Hamilton,Teorema que establece que toda matriz satisface su polinomio característico.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Bloque de Jordan,Matriz compuesta por eigenvalores en la diagonal y unos en la diagonal superior.,Diagonalización y Formas Canónicas,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Polinomio Minimal,Polinomio de menor grado que anula una matriz.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Descomposición Espectral,Representación de una matriz como una suma de matrices proyectivas.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Diagonalizabilidad,Condición de una matriz que puede ser representada por una matriz diagonal a través de una transformación semejante.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Multiplicidad Geométrica,Número de eigenvectores linealmente independientes asociados a un eigenvalor.,Diagonalización y Formas Canónicas,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Multiplicidad Algebraica,Número de veces que un eigenvalor aparece como raíz del polinomio característico.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Descomposición QR,Representación de una matriz como el producto de una matriz ortogonal y una matriz triangular superior.,Diagonalización y Formas Canónicas,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Subespacio Invariante,Subconjunto de un espacio vectorial que es mapeado en sí mismo por una transformación lineal.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Operador Normal,Operador en un espacio de Hilbert que conmuta con su adjunto.,Diagonalización y Formas Canónicas,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Teorema Espectral,Teorema que afirma que un operador es diagonalizable si y solo si es normal.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Criterio de Diagonalización,Condición que determina si una matriz es diagonalizable basándose en sus eigenvalores y eigenvectores.,Diagonalización y Formas Canónicas,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Matriz Jordan,Matriz en forma canónica que generaliza la forma diagonal y es útil para matrices no diagonalizables.,Diagonalización y Formas Canónicas,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
